,,,REMANENTES,,,,,,,,,ABASTECIMIENTO,,,,DIFERENCIA,,,
ATM,fecha,S/. 5,S/. 100,S/. 50,S/. 20,T.FÍSICO,C.INTERNO,D 50,D 20,T.FÍSICO,C.INTERNO,S/. 100,S/. 20,D 20,S/. 50,sobsol,sobdol,falsol,faldol
0053,2018-09-12,0.00,2000.00,0.00,320.00,2320.00,2320.00,0.00,220.00,220.00,220.00,400000.00,38000.00,12000.00,0.00,0.00,0.00,0.00,0.00
0060,2018-09-12,0.00,2200.00,0.00,60.00,2260.00,2260.00,0.00,4140.00,4140.00,4140.00,460000.00,46000.00,40000.00,0.00,0.00,0.00,0.00,0.00
0079,2018-09-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,460000.00,46000.00,20000.00,0.00,0.00,0.00,0.00,0.00
0119,2018-09-12,0.00,3000.00,0.00,16680.00,19680.00,19680.00,0.00,0.00,0.00,0.00,400000.00,76000.00,0.00,0.00,0.00,0.00,0.00,0.00
0186,2018-09-12,0.00,64600.00,0.00,160.00,64760.00,64760.00,0.00,740.00,740.00,740.00,400000.00,38000.00,22000.00,0.00,0.00,0.00,0.00,0.00
0220,2018-09-12,0.00,2600.00,0.00,3920.00,6520.00,6520.00,0.00,0.00,0.00,0.00,600000.00,38000.00,0.00,0.00,0.00,0.00,0.00,0.00
0243,2018-09-12,0.00,77200.00,0.00,140.00,77340.00,77340.00,0.00,2440.00,2440.00,2440.00,600000.00,38000.00,40000.00,0.00,0.00,0.00,0.00,0.00
0263,2018-09-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,460000.00,46000.00,40000.00,0.00,0.00,0.00,0.00,0.00
0360,2018-09-12,0.00,10200.00,0.00,55520.00,65720.00,65720.00,0.00,19140.00,19140.00,19140.00,400000.00,76000.00,40000.00,0.00,20.00,0.00,0.00,0.00
0456,2018-09-12,0.00,12000.00,0.00,5420.00,17420.00,17420.00,0.00,0.00,0.00,0.00,400000.00,76000.00,0.00,0.00,0.00,0.00,0.00,0.00
0477,2018-09-12,0.00,500.00,0.00,39960.00,40460.00,40460.00,0.00,0.00,0.00,0.00,400000.00,114000.00,0.00,0.00,0.00,0.00,0.00,0.00
0517,2018-09-12,0.00,700.00,0.00,61540.00,62240.00,62240.00,0.00,0.00,0.00,0.00,400000.00,114000.00,0.00,0.00,0.00,0.00,0.00,0.00
0631,2018-09-12,0.00,8100.00,0.00,75200.00,83300.00,83300.00,0.00,0.00,0.00,0.00,400000.00,114000.00,0.00,0.00,0.00,0.00,0.00,0.00
0716,2018-09-12,0.00,6500.00,0.00,40840.00,47340.00,47340.00,0.00,0.00,0.00,0.00,400000.00,76000.00,0.00,0.00,0.00,0.00,0.00,0.00
1549,2018-09-12,0.00,17100.00,0.00,8060.00,25160.00,25160.00,0.00,4240.00,4240.00,4240.00,400000.00,38000.00,14000.00,0.00,0.00,0.00,0.00,0.00
1748,2018-09-12,0.00,12500.00,0.00,13940.00,26440.00,26440.00,0.00,1600.00,1600.00,1600.00,400000.00,76000.00,24000.00,0.00,0.00,0.00,0.00,0.00
1794,2018-09-12,0.00,106100.00,0.00,11840.00,117940.00,117940.00,0.00,23480.00,23480.00,23480.00,400000.00,38000.00,40000.00,0.00,0.00,0.00,0.00,0.00
1795,2018-09-12,0.00,61700.00,0.00,41900.00,103600.00,103600.00,0.00,0.00,0.00,0.00,400000.00,76000.00,0.00,0.00,100.00,0.00,0.00,0.00
1844,2018-09-12,0.00,3000.00,0.00,13100.00,16100.00,16100.00,0.00,20.00,20.00,20.00,400000.00,76000.00,6000.00,0.00,0.00,0.00,0.00,0.00
2115,2018-09-12,0.00,86400.00,0.00,2160.00,88560.00,88560.00,0.00,840.00,840.00,840.00,400000.00,38000.00,20000.00,0.00,0.00,0.00,0.00,0.00
2246,2018-09-12,0.00,44400.00,0.00,15260.00,59660.00,59660.00,0.00,60.00,60.00,60.00,400000.00,38000.00,10000.00,0.00,0.00,0.00,0.00,0.00
2342,2018-09-12,0.00,14300.00,0.00,78740.00,93040.00,93040.00,0.00,0.00,0.00,0.00,400000.00,114000.00,0.00,0.00,0.00,0.00,0.00,0.00
2354,2018-09-12,0.00,1700.00,0.00,160.00,1860.00,1860.00,0.00,0.00,0.00,0.00,400000.00,76000.00,0.00,0.00,20.00,0.00,0.00,0.00
2444,2018-09-12,0.00,700.00,0.00,55380.00,56080.00,56080.00,0.00,0.00,0.00,0.00,400000.00,114000.00,0.00,0.00,0.00,0.00,0.00,0.00
2630,2018-09-12,0.00,100.00,23250.00,19340.00,42690.00,42690.00,0.00,4760.00,4760.00,4760.00,230000.00,46000.00,20000.00,115000.00,0.00,0.00,0.00,0.00
