,,REMANENTES,,,,,,,,,,ABASTECIMIENTO,,,,DIFERENCIA,,,
ATM,fecha,S/. 100,S/. 20,S/. 50,S/. 5,T.FÍSICO,C.INTERNO,D 20,D 50,T.FÍSICO,C.INTERNO,S/. 100,S/. 20,D 20,D 50,sobsol,sobdol,falsol,faldol
0208,2018-09-12,700.00,20240.00,0.00,0.00,20940.00,20940.00,80.00,0.00,80.00,80.00,440000.00,44000.00,40000.00,0.00,0.00,0.00,0.00,0.00
0268,2018-09-12,9700.00,43520.00,0.00,0.00,53220.00,53220.00,0.00,0.00,0.00,0.00,400000.00,76000.00,0.00,0.00,0.00,0.00,0.00,0.00
0397,2018-09-12,4000.00,240.00,0.00,0.00,4240.00,4240.00,60.00,0.00,60.00,60.00,400000.00,76000.00,2000.00,0.00,0.00,0.00,-100.00,0.00
0578,2018-09-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400000.00,38000.00,14000.00,0.00,0.00,0.00,-107560.00,-8100.00
0596,2018-09-12,43200.00,540.00,0.00,0.00,43740.00,43740.00,220.00,0.00,220.00,220.00,400000.00,76000.00,8000.00,0.00,320.00,0.00,0.00,0.00
0638,2018-09-12,43600.00,30360.00,0.00,0.00,73960.00,73960.00,820.00,0.00,820.00,820.00,400000.00,76000.00,10000.00,0.00,0.00,0.00,0.00,0.00
0663,2018-09-12,3500.00,240.00,0.00,0.00,3740.00,3740.00,200.00,0.00,200.00,200.00,600000.00,38000.00,40000.00,0.00,0.00,0.00,0.00,0.00
0669,2018-09-12,600.00,23600.00,0.00,0.00,24200.00,24200.00,20.00,0.00,20.00,20.00,400000.00,76000.00,16000.00,0.00,0.00,0.00,0.00,0.00
0798,2018-09-12,38700.00,280.00,0.00,0.00,38980.00,38980.00,280.00,0.00,280.00,280.00,440000.00,44000.00,4000.00,0.00,0.00,0.00,0.00,0.00
0817,2018-09-12,47300.00,6780.00,0.00,0.00,54080.00,54080.00,5300.00,0.00,5300.00,5300.00,400000.00,38000.00,8000.00,0.00,0.00,0.00,0.00,0.00
0873,2018-09-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,460000.00,46000.00,30000.00,0.00,0.00,0.00,0.00,0.00
0943,2018-09-12,2100.00,42940.00,0.00,0.00,45040.00,45040.00,4400.00,0.00,4400.00,4400.00,400000.00,76000.00,6000.00,0.00,0.00,0.00,0.00,0.00
1316,2018-09-12,44100.00,2720.00,0.00,0.00,46820.00,46820.00,20.00,0.00,20.00,20.00,400000.00,38000.00,10000.00,0.00,0.00,0.00,0.00,0.00
1393,2018-09-12,34800.00,340.00,0.00,0.00,35140.00,35140.00,0.00,0.00,0.00,0.00,400000.00,76000.00,0.00,0.00,0.00,0.00,0.00,0.00
1421,2018-09-12,86100.00,2260.00,0.00,0.00,88360.00,88360.00,4520.00,0.00,4520.00,4520.00,400000.00,38000.00,6000.00,0.00,0.00,0.00,0.00,0.00
1425,2018-09-12,39000.00,39380.00,0.00,0.00,78380.00,78380.00,0.00,0.00,0.00,0.00,400000.00,76000.00,0.00,0.00,0.00,0.00,0.00,0.00
1462,2018-09-12,29800.00,4060.00,0.00,0.00,33860.00,33860.00,1420.00,0.00,1420.00,1420.00,400000.00,38000.00,6000.00,0.00,0.00,0.00,0.00,0.00
1756,2018-09-12,32500.00,31140.00,0.00,0.00,63640.00,63640.00,5300.00,0.00,5300.00,5300.00,400000.00,76000.00,8000.00,0.00,0.00,0.00,0.00,0.00
2025,2018-09-12,80600.00,22880.00,0.00,0.00,103480.00,103480.00,25280.00,0.00,25280.00,25280.00,440000.00,44000.00,46000.00,0.00,0.00,0.00,0.00,0.00
2197,2018-09-12,19300.00,21460.00,0.00,0.00,40760.00,40760.00,2900.00,0.00,2900.00,2900.00,400000.00,76000.00,4000.00,0.00,0.00,0.00,-300.00,0.00
2340,2018-09-12,38100.00,120.00,0.00,0.00,38220.00,38220.00,4220.00,0.00,4220.00,4220.00,400000.00,76000.00,6000.00,0.00,140.00,0.00,0.00,0.00
9000,2018-09-12,30.00,0.00,0.00,30.00,60.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-30.00,0.00
9002,2018-09-12,395.00,0.00,0.00,395.00,790.00,790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2960.00,0.00
