TIPO DE ATM, NRO DE ATM ,NOMBRE DE ATM,MONTO,DENOMINACION,FECHA,,
INTEGRAL,0268,ISLA - MEGA PLAZA 1,476000.00,SOLES,2018-09-12,,
INTEGRAL,0397,ISLA - MEGA PLAZA 1,476000.00,SOLES,2018-09-12,,
INTEGRAL,0798,ISLA - MEGA PLAZA 1,484000.00,SOLES,2018-09-12,,
INTEGRAL,0817,ISLA - MEGA PLAZA 1,438000.00,SOLES,2018-09-12,,
INTEGRAL,0873,ISLA - MEGA PLAZA 1,506000.00,SOLES,2018-09-12,,
INTEGRAL,0943,ISLA - MEGA PLAZA 1,476000.00,SOLES,2018-09-12,,
INTEGRAL,1316,ISLA - MEGA PLAZA 1,438000.00,SOLES,2018-09-12,,
INTEGRAL,1393,ISLA - MEGA PLAZA 1,476000.00,SOLES,2018-09-12,,
INTEGRAL,1421,ISLA - MEGA PLAZA 1,438000.00,SOLES,2018-09-12,,
INTEGRAL,1425,ISLA - MEGA PLAZA 1,476000.00,SOLES,2018-09-12,,
INTEGRAL,1462,ISLA - MEGA PLAZA 1,438000.00,SOLES,2018-09-12,,
INTEGRAL,1756,ISLA - MEGA PLAZA 1,476000.00,SOLES,2018-09-12,,
INTEGRAL,2025,ISLA - MEGA PLAZA 1,484000.00,SOLES,2018-09-12,,
INTEGRAL,2197,ISLA - MEGA PLAZA 1,476000.00,SOLES,2018-09-12,,
INTEGRAL,2340,ISLA - MEGA PLAZA 1,476000.00,SOLES,2018-09-12,,
INTEGRAL,0397,ISLA - MEGA PLAZA 1,2000.00,DOLARES,2018-09-12,,
INTEGRAL,0798,ISLA - MEGA PLAZA 1,4000.00,DOLARES,2018-09-12,,
INTEGRAL,0817,ISLA - MEGA PLAZA 1,8000.00,DOLARES,2018-09-12,,
INTEGRAL,0873,ISLA - MEGA PLAZA 1,30000.00,DOLARES,2018-09-12,,
INTEGRAL,0943,ISLA - MEGA PLAZA 1,6000.00,DOLARES,2018-09-12,,
INTEGRAL,1316,ISLA - MEGA PLAZA 1,10000.00,DOLARES,2018-09-12,,
INTEGRAL,1421,ISLA - MEGA PLAZA 1,6000.00,DOLARES,2018-09-12,,
INTEGRAL,1462,ISLA - MEGA PLAZA 1,6000.00,DOLARES,2018-09-12,,
